year_month_id,month_nbr,month,year
204303,3,March,2043
204304,4,April,2043
204305,5,May,2043
204306,6,June,2043
204307,7,July,2043
204308,8,August,2043
204309,9,September,2043
204310,10,October,2043
204311,11,November,2043
204312,12,December,2043
204401,1,January,2044
204402,2,February,2044
204403,3,March,2044
204404,4,April,2044
204405,5,May,2044
204406,6,June,2044
204407,7,July,2044
204408,8,August,2044
204409,9,September,2044
204410,10,October,2044
204411,11,November,2044
204412,12,December,2044
204501,1,January,2045
204502,2,February,2045
204503,3,March,2045
204504,4,April,2045
204505,5,May,2045
204506,6,June,2045
204507,7,July,2045
204508,8,August,2045
204509,9,September,2045
204510,10,October,2045
204511,11,November,2045
204512,12,December,2045
204601,1,January,2046
204602,2,February,2046
204603,3,March,2046
204604,4,April,2046
204605,5,May,2046
204606,6,June,2046
204607,7,July,2046
204608,8,August,2046
204609,9,September,2046
204610,10,October,2046
204611,11,November,2046
204612,12,December,2046
204701,1,January,2047
204702,2,February,2047
204703,3,March,2047
204704,4,April,2047
204705,5,May,2047
204706,6,June,2047
204707,7,July,2047
204708,8,August,2047
204709,9,September,2047
204710,10,October,2047
204711,11,November,2047
204712,12,December,2047
204801,1,January,2048
204802,2,February,2048
204803,3,March,2048
204804,4,April,2048
204805,5,May,2048
204806,6,June,2048
204807,7,July,2048
204808,8,August,2048
204809,9,September,2048
204810,10,October,2048
204811,11,November,2048
204812,12,December,2048
204901,1,January,2049
204902,2,February,2049
204903,3,March,2049
204904,4,April,2049
204905,5,May,2049
204906,6,June,2049
204907,7,July,2049
204908,8,August,2049
204909,9,September,2049
204910,10,October,2049
204911,11,November,2049
204912,12,December,2049
205001,1,January,2050
205002,2,February,2050
205003,3,March,2050
205004,4,April,2050
205005,5,May,2050
205006,6,June,2050
205007,7,July,2050
205008,8,August,2050
205009,9,September,2050
205010,10,October,2050
205011,11,November,2050
205012,12,December,2050
205101,1,January,2051
205102,2,February,2051
205103,3,March,2051
205104,4,April,2051
205105,5,May,2051
205106,6,June,2051
205107,7,July,2051
205108,8,August,2051
205109,9,September,2051
205110,10,October,2051
205111,11,November,2051
205112,12,December,2051
205201,1,January,2052
205202,2,February,2052
205203,3,March,2052
205204,4,April,2052
205205,5,May,2052
205206,6,June,2052
205207,7,July,2052
205208,8,August,2052
205209,9,September,2052
205210,10,October,2052
205211,11,November,2052
205212,12,December,2052
205301,1,January,2053
205302,2,February,2053
205303,3,March,2053
205304,4,April,2053
205305,5,May,2053
205306,6,June,2053
205307,7,July,2053
205308,8,August,2053
205309,9,September,2053
205310,10,October,2053
205311,11,November,2053
205312,12,December,2053
205401,1,January,2054
205402,2,February,2054
205403,3,March,2054
205404,4,April,2054
205405,5,May,2054
205406,6,June,2054
205407,7,July,2054
205408,8,August,2054
205409,9,September,2054
205410,10,October,2054
205411,11,November,2054
205412,12,December,2054
205501,1,January,2055
205502,2,February,2055
205503,3,March,2055
205504,4,April,2055
205505,5,May,2055
205506,6,June,2055
205507,7,July,2055
205508,8,August,2055
205509,9,September,2055
205510,10,October,2055
205511,11,November,2055
205512,12,December,2055
205601,1,January,2056
205602,2,February,2056
205603,3,March,2056
205604,4,April,2056
205605,5,May,2056
205606,6,June,2056
205607,7,July,2056
205608,8,August,2056
205609,9,September,2056
205610,10,October,2056
205611,11,November,2056
205612,12,December,2056
205701,1,January,2057
205702,2,February,2057
205703,3,March,2057
205704,4,April,2057
205705,5,May,2057
205706,6,June,2057
205707,7,July,2057
205708,8,August,2057
205709,9,September,2057
205710,10,October,2057
205711,11,November,2057
205712,12,December,2057
205801,1,January,2058
205802,2,February,2058
205803,3,March,2058
205804,4,April,2058
205805,5,May,2058
205806,6,June,2058
205807,7,July,2058
205808,8,August,2058
205809,9,September,2058
205810,10,October,2058
205811,11,November,2058
205812,12,December,2058
205901,1,January,2059
205902,2,February,2059
205903,3,March,2059
205904,4,April,2059
205905,5,May,2059
205906,6,June,2059
205907,7,July,2059
205908,8,August,2059
205909,9,September,2059
205910,10,October,2059
205911,11,November,2059
205912,12,December,2059
206001,1,January,2060
206002,2,February,2060
206003,3,March,2060
206004,4,April,2060
206005,5,May,2060
206006,6,June,2060
206007,7,July,2060
206008,8,August,2060
206009,9,September,2060
206010,10,October,2060
